id	text	Anger	Disgust	Fear	Sadness	Joy	Surprise
amh_train_track1_15	እኔ ፊልሚ ነው ወይስ እውነተኛ ታሪክ ነው እያልሁ በጣም ግራ ገብቶኝ ነበር ለካ ፕራንክ ነው ይመቻቺሁ	0	0	0	0	1	1
amh_train_track1_16	ይሄ Media የደደደብ ጥርቅም ነው ኤርሚያስ እልም ያልክ ደደደብ ነህ አዘንኩ ለባለቤትክ እንዴት እንደምትኖር በፍፁም አብይን ለመንቀፍ ዋጋ የለህም ምክንያቱም መሀይም ነህ አንተን እና እስክንድርን & ጃዋርን እሚከተል ዘረኛ ስሜታዊ መሀይም ከ 3ቱ አያልፉም አንተ እንኳን poltica ለምንም አትንም የሆንክ እከካም በጣም ስለምታስጠላኝ ሹጣም ነህ🖕🏿	0	1	0	0	0	0
amh_train_track1_17	ትግራይ ከዓመታት በኋላ የትንሳኤ በዓልን ያለ ስጋት አከበረች! ሰላም ለሁሉም!	0	0	0	0	1	0
amh_train_track1_18	ጋዛ፡ “የት እንድንሄድ ነው የሚፈልጉት? እንዲህ ሆነን የት እንሂድላቸው?”	0	0	0	1	0	0
amh_train_track1_19	የአምናን ሰው ወቀስኩት አፌ ልጓም የለው የዘንድሮ ባሰ እጅ እግር የሌለው  ዘንድሮ የምንሰማው የምናየው ሁሉ የከፋ ነው	0	0	0	1	0	0
amh_train_track1_20	ወራሪ ሰዉበላ እስራኤልና አጋሮቿ አላህ የዱንያ ዉርደት እና ስቃይ ያድርስባቸዉ መድረሻ ቢሶች ባስጠጓቸዉ በሉቸዉ ዉሾች ናዚ ልክ ነበር እነዚ ምድር በካዮች የነቢያት ገዳዮች ፈጣሪ ለተአምሩ ነዉ ያስቀመጣቸው በሚሰሩት ግፍ ያገኙታል በሰዉኛ እይታ አሁን ስለምንል ነዉ እጂ ቅርብ ነዉ ድል ለጀግኖቹ	1	1	0	0	0	0
amh_train_track1_21	ጃዋር ህውህትም ይለውጡ ክፍል ነው ይላል በለውጡ ስአት ግን ያዙኝ ልቀቁኝ ባይ ከእር በታች እሱና ቄሮ የከፈለው መስዋዕትነት ነው እያለ ነበር የተናገረው እናማ አሁን ላይ የሚናገረው ንግግር ባዶ ነው ምንም ነገር እርባና ያለው ውይይት አላገኘውበትም ድንገት ሁለተኛው ክፍል ይሻል ይሆን ያ የድሮው ጃዋር የለም 	1	0	0	0	0	0
amh_train_track1_22	በመጀመሪያ በደም የተጨማለቀውን እጅህን አፅዳ በቦሮና የተራቡትን እርዳ የሰው ሴጣን ዘረኛ የበታችነት ስሜት የሚሰቃይ	1	1	0	0	0	0
amh_train_track1_23	ይሄን ጥያቄ ጠይቅ! አሁን እያደረግህ ያለኸውን ነገር እያደረግኸው ያለኸው ለምንድን ነው? ሰዎች አድርግ ስላሉህ? ይሄን ማድረግ ይገባኛል ብለህ ታስብ ስለነበረ ? ወይንስ ድንገት አ	0	0	0	0	0	0
amh_train_track1_24	ፈጣሪ የባረከው ቤተሠብ ጥሩ ልጅ ማሠደግ ትርፉ ይሔ ነው ባረከልሽ	0	0	0	0	1	0
amh_train_track1_25	በኤርትራዊያን መከፋት አልፈርድባቺሁም አብይ ነገሮችን ያበላሻቸው ተነጋግሮ መጨረስ ሲችል ሚዲያ ላይ ወቶ መፎከርን ምን አመጣው ከእውቀት ነፃ የሆነ ሰው እየመራን ስለሆነ ብዙም አትናደደ ኤረይ 	0	1	0	0	0	0
amh_train_track1_26	እንደዚ ኣርጎ እየዘረፊ ንፁህ ህዝብ እየጨፊጨፊ የውጭሃይል ?የኢትዮጵያ ህዝብ ይሁን ፖለቲከኛ ለምን ይወጣል እንጂ ይውጣ የሚል እስካሁን ኣልስማንም ኣረ ድሩድሩ ይሳተፍ የሚልም ኣለ ያማል !	1	0	0	1	0	0
amh_train_track1_27	ሃጫሉን አስበላው አንተና በቀለ ገርባ ከመስከረም ሰላሳ በሃላ መንግስት የለም ጠይቀው እስኪ ያስጨፈጨፍካቸው የደቡብ ልጆች ደማቸው ይፋረድሃል oromya with out of Ethiopia ብሎ ይህንን መንጋ ነዳው የአይልቀይዳ እና Isis ጭንቅላት ከነሱ ይከፉ ናቸው ኦሮሞ ሙስሊሞች አሁንማ አሜሪካና ካናዳ ልታባርራቸው ነው ሁሉንም 	1	1	0	0	0	0
amh_train_track1_28	ግን ኬኒያን ብዙም አትመኗት ሞያሌ ላይ ድንገት መዝጋቷ አይቀርም፣ሩጫው ደግሞ የማራቶን እንዳይመስልህ	0	0	1	0	0	0
amh_train_track1_29	ማሌዢያ ውስጥ አንድ የግል አውሮፕላን በመኪና መንገድ ላይ ተከስክሶ 10 ሰዎች ሞቱ	0	0	0	1	0	0
amh_train_track1_30	ዘሩባበል እውቀት ያንሰዋል እየተመላለሰ በኣንድ ኣጋጣሚ ኮ ወደብ ነበረን እያለክ ነው ኣየህ ከሃይለስላሴ እና በፊት የነበረ ታሪኩ ኣያውቅም በደንብ ታሪክ ማወቅ ኣለበት በገዢዎች ተንኮታኩተን ስለነበርን ሌላ ገዢ ከሚያስቸግረን ኣባቶቻችን በፈደረሽን ከኢትዮጵያ ብንቆይ ይሻላል ብለን ነበር ከበፊት የነበሩ የባሰ ሆነብን ከዛ ነን ትግል የጀመርን ኣገራችን በትግል ከተቆጣጠርን የበለጠ እውቅና እንድናገኝ በረፈረንደም ሙሉ በሙሉ ኤርትራ ነጻ ሃገር ሆ	1	1	0	0	0	0
amh_train_track1_31	የክርስቲያን ደሴት እየተባለ በሀገራችን ኢትዮጵያ በክርስቲያኖች ላይ ስደትና ግድያ እየተበራከተ ነው በጣም ያሳዝናል 	0	0	0	1	0	0
amh_train_track1_32	የኢትዮጵያ ኢኮኖሚ የሚገርም ባህሪ እንዳለው ለማወቅ ኮቪድ፤ የጠሚ አብይ ቅጥ ያጣ እጅግ ብዙ ወጭ፤ በአፍሪካ ትልቁን ጦርነት አስተናግዶ እና ዩክሬንሩሲያ ግጭት ጋር	0	0	0	0	0	1
amh_train_track1_33	አንዲት የገጠር መንደርን ከሕጻናት ቤተ መጽሐፍት ጋር ያስተዋወቀችው መምህርት	0	0	0	0	1	0
amh_train_track1_34	 ሰለ ሁሉም ነገር ህያው አምላክ እግዚአብሔር ይመስገን አንድ እውነት ላረጋግጥላቹ ውድ ኢትዮጵያዊያን ለሃገሬ ሰዎች በብልፅግና ስርአት ከዚ የከፋ ለኑሮ ውድነት ለሁሉም ነገር ከፈጣሪጋ እራሳችሁን አዘጋጁ	0	0	0	1	0	0
amh_train_track1_35	ሁሉሁም የአለም TV ዜና የምትሰጡትና ጋዜጤኛ በኤሪትራ አገር ከመናገር አሰቀድሞ የኤሪትራ ታሪክ አውቃቹ ተናገሩና ጻፉ ብዙ በይሆናል ብላቹ ባልሆነ ውሸት እየገባቹ አትናገሩ እናንተ ብቻ ሳትሆኑ የኢትዬጵያ ምሁራን ነን የሚሉትን ጭምር  የኛ ኤሪትራውያን ባጭሩ ታሪካችን እኛ ኤሪትራውያን ከ1958 ዓም አስከ 1991 ዓም የኢትዬጵያ ቀኝ ግዛት ነበርን እንጂ ኢትዬጵያውያን ሆነን አናቅም የኤሪትራና የኢትዬጵያ ታሪካችን ብታቁ ያፋቅረናል እንጂ 	1	1	0	0	0	0
amh_train_track1_36	ነግ አንድ ነገር ብታገኙባቸው የስድብ አፋችሁን ትከፍታላችሁ አስመሳይ ሁላ	1	1	0	0	0	0
amh_train_track1_37	በብአዴን ቤት ካልሆነ በቀር ውሃ ቁልቁል እንጂ ወደላይ አይፈስም እንደ ደንቡ ከሆነ በህወሓት ወረራ እጅግ ከባድ ሰብአዊ እና ቁሳዊ ጉዳት የደረሰበት የአማራ ህዝ	1	0	0	0	0	0
amh_train_track1_38	ሰበር አሳዛኝ ዜናሼር ይደረግ! ከደሴ አቅጣጫ በአውቶብስ ተጭነው ወደ ደብረብርሃን በማቅናት ላይ የነበሩ የአማራ ልዮ ኃይል አባላት ጀዋሃ ሲደርሱ ድንገት በኦሮሞማ መንግስት ሽ	0	0	0	1	0	0
amh_train_track1_39	ይቅርታ መጠየቃቸዉ ደስ ቢያሰኝም ድሮ የተፈታ የቋንቋ ችግርን እንደምክንያት አድርገዉ ተዋሕዶን ለመከፋፈል የመጡት የሽመልስ አብዲሳ እና የዐቢይ አሕመድ ዐቅድ ሳይሳካ	0	1	0	0	1	0
amh_train_track1_40	ናዚ እዉነት ነበረች ብዬ አመንኩየ አይሁድ ክፋት ወደፊት ታያላቹየተረፋት ን ማለቱ ነዉእሄዉ ትራፊዎቹ የና ዚን ትንቢት ሆነአንተ አታስተባብልህዝብን ሳይሆን መንግስትንነዉአሜርካና እስራኤል እቅድ ሲኖራቸዉ ኢራን እስራኤል የምትባል ሀገር የለም አለች ትርክትደንቆሮ አደረገው የፍልስጢን ህዝብን አጥፍተዉ መኖር ስለ ሚፈልጉ ስለሆነ ታፔላ ኢራን ላይ መለጠፍ ሴራቸዉ ነዉአሁንማ ተገለጠ ምእራቡም አፍረዉ ዝም አሉህዝባቸዉም የመንግስት	1	0	0	0	0	0
amh_train_track1_41	የኦሮሞ እና የትግሬ ፅንፈኛ ፖለቲከኛች አማርኛ ቋንቊን ሲያጥላሉ ይሰማሉ። ነገር ግን ሃሳባቸው በሰፊው ህዝብ እንዲደመጥላቸው ሲፈልጉ እና የከፋ ቀን ሲመጣባቸው እራሳቸውን ለመደበቅ።አማርኛ ቋንቋ ባለውለታቸው ነው ።	1	0	0	0	0	0
amh_train_track1_42	በሌላ በኩል ያለውን እሳትም ማየት ጥሩ ነዉ። ከአማራ ደቡብ ያለውን ንቃችሁ ከሆነ ትምክህት ነው።	0	1	0	0	0	0
amh_train_track1_43	ህፃናቶቹ ደሞ ምን ይሰራሉ አልሀምዱሊላህ አለ ኒዕመተል ኢስላም ወላሂ እንኳን ህፃን ልጅ ሴቶች ራሱ መቃብር ቦታ መሄድ ክልክል ነው ምክናያቱም ስለማይችሉ ሀዘን ስለሚጎዳቸው	0	0	0	1	0	0
amh_train_track1_44	እልልል !!! ማሻላህ ጥሩ ነገር ይዞልን ይምጣ ፡፡፡	0	0	0	0	1	0
amh_train_track1_45	መፍትሔው ልክ እንደ ዐማራ ፋኖ ተደራጅተህ ራስህንም እምነትህንም ማርከበር ነው የሚገልህን መግደል ነው መፍትሔው አታላዝኑብን	1	1	0	0	0	0
amh_train_track1_46	ሀገር በተንኮል በሴራ የህዝብን ስጋት ጆሮ ዳባ ልበስ በማለት እንዱን ብሄር በአንዱ ላይ በማስነሳት በማሳደድ በእኔ አውቅለሃለሁ በአምባገነንነት በማፈን በማሸማቀቅ በመደብድብ	1	0	0	0	0	0
amh_train_track1_47	የኢትዮጵያ ምሁራን የምትባሉ ታሪካቹን እወቁ የተረትተረት ታሪካቹ አቁሙ ኤርትራ በታሪካችን በደንብ የምናውቅ ነን ንጉሳቹ ሃይለስላሴ ክፉ መሪ ከእንግሊዝ ጋር ተስማምቶ ያለ አገሩ ወራሪ ነበሩ ኤርትራ መሬታ እንጅ ሰነዋሪዎቻ አያስፈልጉንም ያለ ሰው ነው በሃይል የተቀማች ወደ ባለቤትነታ ተመልሳለች	1	0	0	0	0	0
amh_train_track1_48	ወደድንም ጠላንም እንደ ዶር አብይ አይነት መሪ ሀገራችን ዳግም የምታገኝበት ቀን ሊናፍቃት ስለሚችል ልንደግፈው ይገባል ጀግንነቱና ቆራጥ የአመራር ብቃቱን ሳላደንቅ አላልፍም በቃ ይችላል ፈታሪ ጠላቶቹን ያውድም	0	0	0	0	1	0
amh_train_track1_49	ይህ ለቃቃቃም ዜጋ ለህዝቡም አይበጅም ለበጀቱም አያሰብም ለራሱ እንጅ	0	1	0	0	0	0
amh_train_track1_50	ጋዛ፡ በእስራኤል አየር ድብደባ እና ከበባ ውስጥ የሚወልዱ እናቶች	0	0	0	1	0	0
amh_train_track1_51	ሶማሊያ ኢትዮጵያን ማዋረድ እና መበቀል ከፈለገች ይህን አጋጣሚ መቸም አታገኘውም አማራ ጥርሱን እየፋቀ ድብድቡን በዳኝነት ይመራዋል	0	1	0	0	0	0
amh_train_track1_52	እኛም ጦርነት ላይ ነንኮ😋😋😋 እስራኤል የቃልኪዳን ሀገር ልጆች ናቸው 🤗	0	0	0	0	0	0
amh_train_track1_53	የዩኬ ጠቅላይ ሚኒስትር ቢቢሲ ከዜጎች የሚሰበስበው ክፍያ ‘እውነታን መሰረት ያደረገ’ ሊሆን ይገባል አሉ	0	0	0	0	0	0
amh_train_track1_54	ይችላል። የሚገርም ልጅ። ?	0	0	0	0	1	1
amh_train_track1_55	መላ የለም ከመጥፎ ለመጠብቅ ጉልበትም የለም መልካም ነገር ለመስራት በትልቁ ጌታ በአላህ ሱብሀነሁ ወተዕላ ቢሆን እንጂ	0	0	0	0	0	0
amh_train_track1_56	ልክነህ ጫትን ከአገር ማጥፋት ጥሩ ነው መጠጥስ እሱ አይብስም ?	0	0	0	0	0	0
amh_train_track1_57	መሬም አለይሄ ሰላምኮ ሞታለች አፈርሆናለች አሰማም የለችም እደማንኛውም ፍጡር የውመል ቂያማ አብረን ነውእምንቀሰቀሰው ሰማይላይሆና ትሰማለችአላለም አይ ክህደት ባለጌ እኮንእሶ እረሱልም አይሰሙ ኢላ ከፈጣሪያችን በቀር ሆ	1	0	0	1	0	0
amh_train_track1_58	የተሳሳተ እና አደገኛ ንግግር! የበለጠ የሚያሳዝነው፣ የዚህን ሰው ቃል እውነት ነው ብሎ ተሰብሰቦ የሚሰማው ሕዝብ ነው። ይህንን	1	1	0	1	0	0
amh_train_track1_59	ጠያቂና ተጠያቂ ስግባባ ደሬ ረጂም እድሜ ለሁላችሁም ሀገራችንን ሰላም ያድርግልን ማንም ሞት አያስደስትም ወላሂ	0	0	0	0	1	0
amh_train_track1_60	ለሰው ልጅ ያለሽ አክብሮት የፋቀሩትን ማግኘት እንዴት ደስ ይላል መሰላቹ እንኳን አገኛሃት የእውነት ደስ ብሎኛ :::እኔ ከወደድኳት ለም ዘንጆሮ አትሆን ስባል ስምቸ ዛሬ በአይኒ አየሁት ካለ ፍቅር ከመኖር ካፋቀሩት ጋር ተጎሳቅሎ መኖር ይመረጣል Congra ዳኒሽ	0	0	0	0	1	0
amh_train_track1_61	ከባለግዜዎች እነሱው ወንጀሉን ሰርተው ከእነሱው ፍትህ እናገኛለን ብላችሁ ታስባላችሁ ፈጣሪ ነፍሱን በገነት ያኑርልን  መጀመሪያ ኢንተርቪ የተደረገው ሀብታሙ የሚባለው ሰውዬ በጣም የፍርሀት አነጋገር ነው የተናገረው በጣም አደባበሰው ሸፋፈነው ሁለተኛው ሰውዬ ጎደኛው ግን ሁኔታውን ጥሩ አብራርቶታል ፈጣሪ ያፅናችሁ	0	0	0	1	0	0
amh_train_track1_62	የቡሾፍቱ ጠንቋይንና ክምር አቃጣይ ሽፍታን መማፀን እስቲ ምን ይሉታል?	1	1	0	0	0	0
amh_train_track1_63	ኧረ እነሱ ፍቅር ብቻ ነበር የሚሰጧት ከፋይ ሌላው ነበር ባክህ፡)	0	0	0	0	0	0
amh_train_track1_64	ትክክል! መሪ ማለት ረጋ ብሎ የሕዝብን ስጋት አዳምጦና መርምሮ አብዛኛውን ባረካ ሁኔታ ምላሽ መስጠት ነው።ይህ ሲሆን መንግት ታማኝነቱ ሕዝብ ላይ ይጨምራል። ስጋ	0	0	0	0	1	0
amh_train_track1_65	Mihratu Wonetmu 🤭🤭🤭ማን ተሳደበ መልካም መንገድ ነው ያልነው	0	0	0	0	0	0
amh_train_track1_66	እኔን የኔ እህት እኔ ልከራታታታትልሽ ዉይ በጣም ያማል ለካ የእናት ጨካኝም አለች አቤት ፈጣራ ሆይ ምንአሰማህኝ አይዞሽ 😭😭😭	0	0	0	1	0	0
amh_train_track1_67	ለካድሬዎች እናትነት ማለት በእናቶች ሞት ርሀብ እንግልት ስቃይና መሰደድ ምክንያት የፖለቲካ ቁማር እየተጫወቱ ምንም እንዳልተፈጠ	1	1	0	0	0	0
amh_train_track1_68	ቀይባህር ደማችን አሁንም ቀይናት ጀግኖች በደማቸው እስካሁን ያቆይዋት እያልን ስንዘምር አደግን። አድገን እስከ ሀሰብና ምፅዋ ዘምተን ተዋደቅን ። ልፋታችን ከንቱ ሆኖ ቀረ ። አሁን ጊዜው መጥቷል። ሀገር ተረካቢው ትውልድ ያስመልስ። እኛም የቻልነውን እናደርጋለን	1	0	0	0	0	0
amh_train_track1_69	“የጥይት እሩምታ በላያችን ላይ አርከፈከፉብን” ወደ ሳዑዲ ለመግባት የሞከሩ ኢትዮጵያውያን	1	0	0	0	0	0
amh_train_track1_70	እውነተኛ ልቦች እና መልካም ዱዐዎች የማይሸነፋ ሰራዊቶች ናቸው። ?ኢብኑ ተይሚያ	0	0	0	0	0	0
amh_train_track1_71	ወደማን ይጮሀል ከፈጣሪ ዉጪ ያማል ቅኔዉ ወዳጀዋ ምንም ልትገዛ ምንም ሰዉ ልትጨፈጪፍ ልትገል አካል ልታጎል ትችልአለህ ግን ዋ ላንተ መጨረሻ ፍራ መከላከያ የሰፈር ሚኒሻ ነዉ እስኪ ይንገሩኚ ምርኮኛ ጀኔናር 	1	0	0	1	0	0
amh_train_track1_72	ጋሽ አብራር እስከ አሁን በብልፅግኒ ኤሊቶች ያሎት ተስፋ የሚገርም ነው። ኢሀዲግ የሚባል ካንሰር ስሙን እየቀያየረ ህዝብ እየፈጀ፣የሀገር ህልውናን አደጋ ላይ እ	1	1	0	0	0	1
amh_train_track1_73	ጨበራ ሎጅ ድንቅ ነው በቅርቡ ወደ ሀገር ስገባ እጎበኘዋለው 	0	0	0	0	1	0
amh_train_track1_74	ትናንት ባይደን ያወሳት የአራት አመቷ የአቬጋይል ታሪክ የበለጠ ይዘገንናል ፊት ለፊቷ በሀማስ የታረዱት ወላጆቿ እሷ ግን ታግታ ትናንት ተፈታለች የአቬጋይል ታሪክ ዘግናኝ ነው	0	0	0	1	0	0
amh_train_track1_75	ሲጀመር አቢይ ፎቶው እንዲለጠፍ አይጠይቅም፣ ኦሮሞ ደግሞ የምኒልክን ሕልውና እየካደ ፎቷቸውን አይለጥፍም፣ ግን አቢይን ለማስነቀፍ የሚደክሙ የቻሉትን ሁሉ ያደርጋሉ! ይኸው ነው!	1	0	0	0	0	0
amh_train_track1_76	እረ ያማል በጣም ያማል ጌታ ሆይ ታረቀን ስንት አይነት ሰው አለ	0	0	0	1	0	0
amh_train_track1_77	ሰበር እልል?የትግራይ ሕዝብ ለሲኖዶስ ድጋፍ ወጣ ቪድዮ ተለቀቀ ፤ በቤተክርስትያኗ የመጣ አደገኛ ካርድ ብልፅግ via 	0	1	0	0	1	0
amh_train_track1_78	ከብት አህያ ከፖለቲካ ውጪ ሌላ ቀልድ አታውቅም አይደል ሁል ጊዜ ሮሮ ብቻ ነው ቀልድህ ችሎታ ካለህ ለምን ከፖለቲካ አወጣም	1	1	0	0	0	0
amh_train_track1_79	በፈጣሪ ስም ምን ጉድ ነው ያሰማህኝ ብዙ ታሪኮች ስምቻለሁ ይህ ግን በጣም ያማል ሁሉቱም ግን ሰው አይደሉም	0	0	0	1	0	0
amh_train_track1_80	ከደራሲያን አለም ፔጅ የተወሰደ ክንፍ ሰበር ጫጩት ጫጬቶች ተጣልተው ጎራ እየከፈሉ የኔ ነው የኔ ነው እየተባባሉ ሁሉም በየተራ ድንገት ሲገፋፉ መጠለያ ክንፉን ሰብረውት አረፉ 	0	0	0	1	0	0
amh_train_track1_81	የኢቢኤስ ፕሮግራም እንዴት ነበር ዛሬ ቅዳሜን ከሰዓት በተመለከተ?	0	0	0	0	0	0
amh_train_track1_82	ይህንንን ሁሉ የሰው ሕይወት መጥፋትና ንብረት ውድመት ለምን አስፈለገ?	1	0	0	0	0	0
amh_train_track1_83	ጤነኛ እና አስተዋይ ያልተያዝን ብንሆን ኖሮ ለመንቃት አንቸገርም ነበር ግን አያያዛችን የከፋ እና ወደ ውስጣችን ለማየት አለመታደላችን በአጋንት እንድንጠቃ ተወሰነብን አዝናለሁ ከልብ ለሴጣኑ የሚያግዝና የሚደግፋ መብዛቱ ከውጪም ከውስጥም ነገሩን ከበድ ቢያደርገውም ትንሽዬ ንቃት ብዙ ውጤት ታስመዘግባለች እኔ የምላችሁ ምእመን አትፍሩ እርኩስ መንፈስ ፈሪ ሆኖ እኛን በፍረአት ማነቆ ውስጥ አንቆ ማስፈራራት አጀንዳው ነው በናታችሁ መቁጠሪያ ስግ	0	0	0	1	0	0
amh_train_track1_84	ቀጀላ መርዳሳ የተባለ የባህል ሚኒስትር አድርጎ አብይ ለምን ሾመው ዘረኛ መሆኑን እያወቀ ኢትዮጵያን ህዝብ እየበጠበጠ ምኒልክ የሚባል ስም እያስበረገገው ነው የሚገኘው እሱን ከዚህ ቦታ ማንሳት ሰላምን ያመጣል	0	1	0	0	0	0
amh_train_track1_85	ቢበላስ ተገኝቶ ነው የሚበላ የሌለው የሚበላውን አይመርጥምየባህል እስረኛ ከመሆን የተገኘውን ተመግቦ የችግርን ወቅት ማለፍ ይሻላልሌላው የቲክ ቶከሮች ወሬና ሌብነት ነው	1	0	0	0	0	0
amh_train_track1_86	የኦሮሚያው ሰልፍ ምንጩ ስጋት ነው፤ የሰልፉ አላማ ያሉትና እውነታው የሰማይና የምድር ያህል ነው።	0	0	0	0	0	0
amh_train_track1_87	ናቲ በዚ መረጃህ ላይ አሁን ቤተሰቦቸ ያሉበት አከባቢ ዳሌ ሰዲ ወረዳ ውስጥ ጫሞ፣መንደር 13፣ መ14 የሚባሉ ቀበሌዎች ትንሽ ስጋት አለባቸው።በቀን በየመን	0	0	1	0	0	0
amh_train_track1_88	በወሬና በውሸት የተገነባ አንድም አገር የለም በምድር ፕላኔታችን ላይ በስራ በሕብረት በአንድነት የብሔርመከፋፈልና ልዩነቶች ሳይኖሩ ነው ዛሬ በጣም ያደጉት አገሮች እናንተ ደንቆሮዎች ጋሎች ምንድነው ምክንያቱ ከእናንተ ጥበብእርቃለችሸሽታለች በሩን ጥርቅም አድርጋችሁ ስለዘጋችሁ የዋቄና መንፈስየጨለማው የወደቀው ሠራዊት ስሙን በልዩ ልዩ መንገድ እያስጠራ የከፋፍለህ ግዛን ቀንበር በሰው ልጅ ላይ የጫነየኢሬቻው የቃልቻው መንፈስ ምንም ወረቀቱ ወይም	1	1	0	0	0	0
amh_train_track1_89	ከግብር ሌላ በወር ክፈሉ እየተባለ ሰው እየታሰረ ነው በተለይ ሱማሌ ያልሆኑት ለይ አደገኛ እንግልት እየደረሰባቸው ነው	0	0	0	1	0	0
amh_train_track1_90	ዝም ብለህ ኣትቀደድ ከቻልክ እውቀትን ፈልጋት ካልሆነ ህዝብን ለማታለል በሚደረግ ተረት ተረት ይቅር አሰብን ኢትዮ ራሶ ኣንደ ኣገር መቀጠሎዎ ያጠራጥራል ኤርትራ ድንበሮ ያለቀው በ1890 ዎቹ ነው ከ 40 ዓመታት በሆላ ጣሊይን ኢትዮ ስትወር በ1936 ኤርትራን ኢትዮን ሶምሊያን ኣዋህዳ በ 6 ግዛቶች ከፍላ ኣስተዳድራለቸ እናም ኤርትራን ትግራይን ኣፋርን ጨምራ ኤርትራ ብላ ለ 5 ዓመታት ኣስተዳድራለች እንግሊዝ ጣሊያንን ክ ኤርትራ ኢትዮ ሶ	1	0	0	0	0	0
amh_train_track1_91	ይወርድባታል እኔ ዩቱብ ላይ እንደድንገት ነው ያየው በቱርክኛ ነው	0	0	0	0	0	0
